Title,Date,Location,Department,Views,Amount(INR)
They said it is registration fee for birth certificate,14-10-20,"Bangalore,Karnataka","Births, Family and Care",1225,400
Paid bribe for not having insurance during pandemic,13-10-20,"Bangalore,Karnataka",Vehicle Insurance,1158,350
Forced to pay bribe at KR Puram RTO,13-10-20,"Bangalore,Karnataka",Driving and Transport Business,1249,100
Forced to pay 100 rupees bribe for LL test,13-10-20,"Bangalore,Karnataka",Driving Licenses and Tests,1044,100
Misusing of power and traping people in false case to make money,13-10-20,"Siwan,Bihar",FIR and Complaints,1068,15000
Traping of small business man by misusing rules and policies.,13-10-20,"Siwan,Bihar",Policies and Procedures,1016,15000
Bribe paid to VAO for patta transfer,10-10-20,"Coimbatore,TamilNadu",Others,1129,5000
Police officer asked bribe to clear passport verification,10-10-20,"Bangalore,Karnataka",Police Clearance Certificate,1920,500
Driving license issuance process is a joke,09-10-20,"Hyderabad,Telangana",Driving Licenses and Tests,1077,2500
Trader license,06-10-20,"Mysore,Karnataka",Registrations and Licenses,1426,4000
They said it is registration fee for birth certificate,14-10-20,"Bangalore,Karnataka","Births, Family and Care",1225,400
Paid bribe for not having insurance during pandemic,13-10-20,"Bangalore,Karnataka",Vehicle Insurance,1158,350
Forced to pay bribe at KR Puram RTO,13-10-20,"Bangalore,Karnataka",Driving and Transport Business,1249,100
Forced to pay 100 rupees bribe for LL test,13-10-20,"Bangalore,Karnataka",Driving Licenses and Tests,1044,100
Misusing of power and traping people in false case to make money,13-10-20,"Siwan,Bihar",FIR and Complaints,1068,15000
Traping of small business man by misusing rules and policies.,13-10-20,"Siwan,Bihar",Policies and Procedures,1016,15000
Bribe paid to VAO for patta transfer,10-10-20,"Coimbatore,TamilNadu",Others,1129,5000
Police officer asked bribe to clear passport verification,10-10-20,"Bangalore,Karnataka",Police Clearance Certificate,1920,500
Driving license issuance process is a joke,09-10-20,"Hyderabad,Telangana",Driving Licenses and Tests,1077,2500
Trader license,06-10-20,"Mysore,Karnataka",Registrations and Licenses,1426,4000
They said it is registration fee for birth certificate,14-10-20,"Bangalore,Karnataka","Births, Family and Care",1225,400
Paid bribe for not having insurance during pandemic,13-10-20,"Bangalore,Karnataka",Vehicle Insurance,1158,350
Forced to pay bribe at KR Puram RTO,13-10-20,"Bangalore,Karnataka",Driving and Transport Business,1249,100
Forced to pay 100 rupees bribe for LL test,13-10-20,"Bangalore,Karnataka",Driving Licenses and Tests,1044,100
Misusing of power and traping people in false case to make money,13-10-20,"Siwan,Bihar",FIR and Complaints,1068,15000
Traping of small business man by misusing rules and policies.,13-10-20,"Siwan,Bihar",Policies and Procedures,1016,15000
Bribe paid to VAO for patta transfer,10-10-20,"Coimbatore,TamilNadu",Others,1129,5000
Police officer asked bribe to clear passport verification,10-10-20,"Bangalore,Karnataka",Police Clearance Certificate,1920,500
Driving license issuance process is a joke,09-10-20,"Hyderabad,Telangana",Driving Licenses and Tests,1077,2500
Trader license,06-10-20,"Mysore,Karnataka",Registrations and Licenses,1426,4000
Fed up of giving bribe,06-10-20,"Jhansi,UttarPradesh",Service Tax,1714,50000
Officer Asking Additional 2500 rs. for the property tax registration,06-10-20,"BiharSharif,Bihar",Building and Housing,463,2500
Asked bribe threatening about pollution certificate,06-10-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1446,500
Bribery for asking a report,05-10-20,"Thane,Maharashtra",Autorickshaws,2006,50000
I paid 500rs bribe for passport police verification,02-10-20,"NewDelhi,Delhi",,1451,500
ACCT LVO 060,01-10-20,"Bangalore,Karnataka",Sales Tax,1281,50000
"Excise dept at Anmod Ghat,  Belgaum",27-09-20,"Belgaum,Karnataka",Excise,1630,4000
I am an advocate one widow lady namely Reema came at my office and told that my husband has committe,27-09-20,"NewDelhi,Delhi",Policies and Procedures,1508,1000
For clearing papers in survey for SRA,25-09-20,"Mumbai,Maharashtra",,1760,500000
Paid bribe at Sub-Registrar office Raisinghnagar,25-09-20,"Ganganagar,Rajasthan",Property Registration,1071,18000
Constant Flow of Bribe,25-09-20,"Sirsa,Haryana",Building and Housing,814,15000
To encash cheque/KYC,23-09-20,"Supaul,Bihar",Loan Sanctioning,1591,500
Labour inspector asked to pay bribe of rs.6000 for Shop & establishment act licence.,23-09-20,"SASNagar,Punjab",Registrations and Licenses,1185,6000
"Peshkar corrupt, inhuman,deshdrohi, samaz ke lie  khatra",23-09-20,"Ghaziabad,UttarPradesh",Court Related,6005,1000
I paid bribe to police who came for passport verification,18-09-20,"Bareilly,UttarPradesh",Verification and Certificates,1317,500
VEHICLE HAS TAKEN UNDER THEIR CUSTODY,16-09-20,"Ulhasnagar,Maharashtra","Traffic Fines, Penalties, Rules",1046,200
For drug license,15-09-20,"Garhwa,Jharkhand",Drugs License,1060,40000
Peshkar fraud,10-09-20,"Ghaziabad,UttarPradesh",Court Related,1687,1000
"Hello, I have a question? How can I get your advice and valuable…",10-09-20,"Abhayapuri,Assam",Others,1500,100
Police constable threatened  me to detain my bike.,09-09-20,"Ahmedabad,Gujarat","Traffic Fines, Penalties, Rules",1661,100
For FRRO Approval 10000/-,08-09-20,"Noida,UttarPradesh",Visa,1288,10000
Jagadish Panchayat clerk took bribe from me to katha,07-09-20,"Bangalore,Karnataka",Others,1378,40000
I paid bride in the sub Register office,07-09-20,"Bangalore,Karnataka",Property Registration,1279,20000
Passport Police Verification,06-09-20,"Bangalore,Karnataka",Verification and Certificates,1727,500
Bribe for katha,05-09-20,"Ramnagar,Bihar",Khata,923,10000
Bribe taken by traffic polive,04-09-20,"Howrah,WestBengal",Driving Licenses and Tests,1134,2000
CDSCO FOR DIAGNOSTIC KIT APPROVAL,01-09-20,"Ambala,Haryana",Drugs License,1096,200000
DISTRICT DRUG INSPECTOR NEEDS ANNUAL RENEWAL FEES,01-09-20,"Ambala,Haryana",Drugs License,1082,100000
Quarantine issues at the airport,30-08-20,"NewDelhi,Delhi",Visa,1521,5000
Paid a bribe for obtaining my original marksheets and certificate,29-08-20,"Patna,Bihar",College Leaving Certificate,2304,300
They said it is registration fee for birth certificate,14-10-20,"Bangalore,Karnataka","Births, Family and Care",1225,400
Paid bribe for not having insurance during pandemic,13-10-20,"Bangalore,Karnataka",Vehicle Insurance,1158,350
Forced to pay bribe at KR Puram RTO,13-10-20,"Bangalore,Karnataka",Driving and Transport Business,1249,100
Forced to pay 100 rupees bribe for LL test,13-10-20,"Bangalore,Karnataka",Driving Licenses and Tests,1044,100
Misusing of power and traping people in false case to make money,13-10-20,"Siwan,Bihar",FIR and Complaints,1068,15000
Traping of small business man by misusing rules and policies.,13-10-20,"Siwan,Bihar",Policies and Procedures,1016,15000
Bribe paid to VAO for patta transfer,10-10-20,"Coimbatore,TamilNadu",Others,1129,5000
Police officer asked bribe to clear passport verification,10-10-20,"Bangalore,Karnataka",Police Clearance Certificate,1920,500
Driving license issuance process is a joke,09-10-20,"Hyderabad,Telangana",Driving Licenses and Tests,1077,2500
Trader license,06-10-20,"Mysore,Karnataka",Registrations and Licenses,1426,4000
